OrderID,ProductID,ProductName,Category,Price,Quantity,OrderDate,CustomerID,CustomerName,Region
1001,1,Laptop,Electronics,999.99,1,2024-01-05,C001,John Smith,North
1002,2,Headphones,Electronics,89.99,2,2024-01-06,C002,Emma Johnson,South
1003,3,T-Shirt,Clothing,19.99,3,2024-01-07,C003,Michael Chen,West
1004,1,Laptop,Electronics,999.99,1,2024-02-10,C004,Sophia Davis,East
1005,4,Desk Chair,Furniture,149.99,1,2024-02-15,C005,James Wilson,North
1006,2,Headphones,Electronics,89.99,1,2024-03-01,C006,Olivia Brown,South
1007,5,Smartphone,Electronics,699.99,1,2024-03-05,C007,William Lee,West
1008,3,T-Shirt,Clothing,19.99,5,2024-04-10,C008,Ava Martinez,East
1009,4,Desk Chair,Furniture,149.99,2,2024-04-15,C009,Lucas Taylor,North
1010,5,Smartphone,Electronics,699.99,1,2024-05-01,C010,Isabella Anderson,South
